ONTOLOGY	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0051457	maintenance of protein location in nucleus	2/10	24/18986	0.0833333333333333	158.216666666667	17.6915180019661	6.84893105970469e-05	0.00476896061253697	0.00290855966881631	SUN2/SUN1	2
BP	GO:0007097	nuclear migration	2/10	28/18986	0.0714285714285714	135.614285714286	16.3635252971064	9.36952025734505e-05	0.00476896061253697	0.00290855966881631	SUN2/SUN1	2
BP	GO:0021801	cerebral cortex radial glia-guided migration	2/10	28/18986	0.0714285714285714	135.614285714286	16.3635252971064	9.36952025734505e-05	0.00476896061253697	0.00290855966881631	SUN2/SUN1	2
BP	GO:0022030	telencephalon glial cell migration	2/10	28/18986	0.0714285714285714	135.614285714286	16.3635252971064	9.36952025734505e-05	0.00476896061253697	0.00290855966881631	SUN2/SUN1	2
BP	GO:0051642	centrosome localization	2/10	32/18986	0.0625	118.6625	15.2920457132883	0.000122805852683355	0.00476896061253697	0.00290855966881631	SUN2/SUN1	2
BP	GO:0061842	microtubule organizing center localization	2/10	32/18986	0.0625	118.6625	15.2920457132883	0.000122805852683355	0.00476896061253697	0.00290855966881631	SUN2/SUN1	2
BP	GO:0051647	nucleus localization	2/10	35/18986	0.0571428571428571	108.491428571429	14.6114984389816	0.000147193361678514	0.00479586922608097	0.00292497106627933	SUN2/SUN1	2
BP	GO:0021799	cerebral cortex radially oriented cell migration	2/10	37/18986	0.0540540540540541	102.627027027027	14.2043020889438	0.000164665037805355	0.00479586922608097	0.00292497106627933	SUN2/SUN1	2
BP	GO:0072595	maintenance of protein localization in organelle	2/10	43/18986	0.0465116279069767	88.306976744186	13.1571480877233	0.000222885922459751	0.005770268881458	0.00351925140725923	SUN2/SUN1	2
BP	GO:0021795	cerebral cortex cell migration	2/10	49/18986	0.0408163265306122	77.4938775510204	12.3075636831308	0.000289781003579792	0.00675189738340916	0.00411794057718652	SUN2/SUN1	2
BP	GO:0022029	telencephalon cell migration	2/10	62/18986	0.032258064516129	61.2451612903226	10.9072310099066	0.00046426656740491	0.0091450400099454	0.00557750350730801	SUN2/SUN1	2
BP	GO:0008347	glial cell migration	2/10	63/18986	0.0317460317460317	60.2730158730159	10.8177083897624	0.000479353681295125	0.0091450400099454	0.00557750350730801	SUN2/SUN1	2
BP	GO:0021885	forebrain cell migration	2/10	65/18986	0.0307692307692308	58.4184615384615	10.6448403482481	0.000510238283816696	0.0091450400099454	0.00557750350730801	SUN2/SUN1	2
BP	GO:0032507	maintenance of protein location in cell	2/10	68/18986	0.0294117647058824	55.8411764705882	10.3998379820732	0.0005583380764052	0.00929234084302939	0.00566734137704526	SUN2/SUN1	2
BP	GO:0072384	organelle transport along microtubule	2/10	93/18986	0.021505376344086	40.8301075268817	8.8390472554343	0.00104119634898265	0.0158163079164278	0.00964626866373506	SUN2/SUN1	2
